,Unnamed: 0,name,position,domain,years_exp,contact,tags
122,122,Handschiegl,technician,production,4,1061124036,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey harrison product domain work technician focus maintain repair product equip hey harrison product domain work technician focus maintain repair product equip
123,123,Hankard,datascientist,production,3,8903958597,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hi heitzman product domain work technician respons mainten troubleshoot product equip hi heitzman product domain work technician respons mainten troubleshoot product equip
124,124,Harrington,technician,production,4,1236516247,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hello hendrickson product domain special data scientist analyz product data extract valuabl insight hello hendrickson product domain special data scientist analyz product data extract valuabl insight
125,125,Harrison,technician,production,4,9460779994,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey hitchcock sale domain contribut devop engin work develop mainten softwar solut hey hitchcock sale domain contribut devop engin work develop mainten softwar solut
126,126,Heitzman,technician,production,4,1861265051,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hi homberg product domain special data scientist appli advanc analyt optim product process hi homberg product domain special data scientist appli advanc analyt optim product process
127,127,Hendrickson,datascientist,production,3,2562364744,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hello horton within domain serv databas administr manag maintain databas ensur data integr avail hello horton within domain serv databas administr manag maintain databas ensur data integr avail
128,128,Hitchcock,devops,sales,5,2183967363,devop autom continu integr continu deploy cloud comput contain kubernet infrastructur cod script monitor deploy scalabl agil methodolog git jenkin docker ansibl aw azur hey houlihan sale domain hold posit director sale overse manag sale activ achiev busi object hey houlihan sale domain hold posit director sale overse manag sale activ achiev busi object
129,129,Homberger,datascientist,production,5,4426471057,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hi howard admin offic domain work administr assist provid support assist offic oper manag hi howard admin offic domain work administr assist provid support assist offic oper manag
130,130,Horton,database administrator,it/is,5,1696032712,databas manag sql databas design databas tun backup recoveri data integr data secur perform monitor queri optim databas administr tool data model troubleshoot high avail data migr nosql etl relat databa mysql oracl microsoft sql serv hello hudson product domain work technician respons maintain repair product equip hello hudson product domain work technician respons maintain repair product equip
131,131,Houlihan,director of sales,sales,4,3391650718,sale manag leadership strateg plan busi develop sale strategi team manag client relationship manag custom acquisit sale forecast territori manag negoti sale train market analysi competit analysi custom satisfact key account manag pipelin manag budget manag perform metr crm hey hunt product domain special data scientist util advanc analyt deriv insight optim product process hey hunt product domain special data scientist util advanc analyt deriv insight optim product process
132,132,Howard,administrative assistant,admin offices,3,6994919642,offic administr cleric commun skil organiz skil time manag schedul file data entri microsoft offic custom servic email manag calendar manag record keep multitask administr support problem solv teamwork attent detail profess offic equip hi hutter product domain special data scientist appli statist analysi machin learn algorithm improv product effici hi hutter product domain special data scientist appli statist analysi machin learn algorithm improv product effici
133,133,Hudson,technician,production,4,4099447591,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hello huynh product domain special data scientist analyz product data identifi pattern trend hello huynh product domain special data scientist analyz product data identifi pattern trend
134,134,Hunts,datascientist,production,5,7205602358,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hey immediato product domain serv product manag overse coordin product oper meet busi goal hey immediato product domain serv product manag overse coordin product oper meet busi goal
135,135,Hutter,datascientist,production,3,9526105631,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hi ivey product domain work technician ensur smooth oper product machineri equip hi ivey product domain work technician ensur smooth oper product machineri equip
136,136,Huynh,datascientist,production,3,6476858205,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hello jackson product domain work technician respons maintain repair product equip hello jackson product domain work technician respons maintain repair product equip
137,137,Immediato,production manager,production,2,5564457522,product manag manufactur oper manag lean manufactur process improv team manag budget manag schedul qualiti control inventori manag suppli chain manag perform metr continu improv problem solv collabor workforc manag product plan safeti manag root caus analysi kaizen hey jacobi product domain work technician focus maintain troubleshoot product equip hey jacobi product domain work technician focus maintain troubleshoot product equip
138,138,Ivey,technician,production,3,1207624831,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hi jeannit product domain special data scientist leverag data analysi techniqu optim product process hi jeannit product domain special data scientist leverag data analysi techniqu optim product process
139,139,Jackson,technician,production,3,5280219104,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hello jhaveri product domain work technician ensur smooth oper product machineri equip hello jhaveri product domain work technician ensur smooth oper product machineri equip
140,140,Jacobi,technician,production,5,5149197071,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey johnson product domain work technician respons maintain repair product equip hey johnson product domain work technician respons maintain repair product equip
141,141,Jeannite,datascientist,production,4,7151646540,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hi johnson within domain serv databas administr manag maintain databas ensur data integr avail hi johnson within domain serv databas administr manag maintain databas ensur data integr avail
142,142,Jhaveri,technician,production,5,1862439644,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hello johnston product domain special data scientist analyz product data deriv valuabl insight hello johnston product domain special data scientist analyz product data deriv valuabl insight
143,143,Johnson,technician,production,4,7878922224,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey jung product domain work technician respons maintain repair product equip hey jung product domain work technician respons maintain repair product equip
144,144,Johnson,database administrator,it/is,3,7844605515,databas manag sql databas design databas tun backup recoveri data integr data secur perform monitor queri optim databas administr tool data model troubleshoot high avail data migr nosql etl relat databa mysql oracl microsoft sql serv hi kampew sale domain hold posit sale manag lead manag sale team achiev busi target hi kampew sale domain hold posit sale manag lead manag sale team achiev busi target
145,145,Johnston,datascientist,production,3,6897732445,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hello keatt product domain work technician focus maintain troubleshoot product equip hello keatt product domain work technician focus maintain troubleshoot product equip
146,146,Jung,technician,production,4,2690994952,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey khemmich sale domain contribut devop engin focus optim sale process autom technolog hey khemmich sale domain contribut devop engin focus optim sale process autom technolog
147,147,Kampew,sales manager,sales,5,6874080006,sale manag sale strategi team manag busi develop sale forecast client relationship manag territori manag negoti sale train perform manag custom acquisit market analysi competit analysi custom satisfact key account manag pipelin manag budget manag crm coach leadership hello king presid ceo execut offic provid strateg direct leadership drive compani overal success growth hello king presid ceo execut offic provid strateg direct leadership drive compani overal success growth
148,148,Keatts,technician,production,4,7683748784,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hi kinsella product domain work technician ensur smooth oper product machineri equip hi kinsella product domain work technician ensur smooth oper product machineri equip
149,149,Khemmich,devops,sales,5,5138313073,devop autom continu integr continu deploy cloud comput contain kubernet infrastructur cod script monitor deploy scalabl agil methodolog git jenkin docker ansibl aw azur hello kiril product domain work technician respons maintain repair product equip hello kiril product domain work technician respons maintain repair product equip
150,150,King,president & ceo,executive office,3,3545290376,execut leadership strateg plan busi strategi entrepreneurship visionari leadership organiz manag execut manag busi develop corpor govern board rel financi manag leadership develop chang manag stakehold manag execut decis mak public speak crisi manag merger acquisit industri knowledg innov hey knapp product domain work technician special maintain troubleshoot product equip hey knapp product domain work technician special maintain troubleshoot product equip
151,151,Kinsella,technician,production,5,3002041851,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hi kretschmer product domain work technician ensur proper function product machineri equip hi kretschmer product domain work technician ensur proper function product machineri equip
152,152,Kirill,technician,production,4,9732511215,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hello kreuger sale domain contribut devop engin focus streamlin sale process autom technolog hello kreuger sale domain contribut devop engin focus streamlin sale process autom technolog
153,153,Knapp,technician,production,3,6916115270,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey lajiri within domain serv senior network engin respons design maintain compani network infrastructur hey lajiri within domain serv senior network engin respons design maintain compani network infrastructur
154,154,Kretschmer,technician,production,3,7865801874,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hi landa product domain hold posit product manag overse manag product oper meet qualiti effici standard hi landa product domain hold posit product manag overse manag product oper meet qualiti effici standard
155,155,Kreuger,devops,sales,5,2044984699,devop autom continu integr continu deploy cloud comput contain kubernet infrastructur cod script monitor deploy scalabl agil methodolog git jenkin docker ansibl aw azur hello langford product domain special data scientist leverag data analysi techniqu optim product process hello langford product domain special data scientist leverag data analysi techniqu optim product process
156,156,Lajiri,sr. network engineer,it/is,5,7578330407,network engin network design rout switch firew network secur cisco junip dn dhcp vpn wireless network network troubleshoot network monitor network protocol load balanc ipv4 ipv6 ccnp ccie hey langton product domain work technician respons maintain repair product equip hey langton product domain work technician respons maintain repair product equip
157,157,Landa,production manager,production,4,4943092016,product manag manufactur oper manag lean manufactur process improv team manag budget manag schedul qualiti control inventori manag suppli chain manag perform metr continu improv problem solv collabor workforc manag product plan safeti manag root caus analysi kaizen hi larotonda admin offic domain work account handl financi task maintain accur account record hi larotonda admin offic domain work account handl financi task maintain accur account record
158,158,Langford,datascientist,production,3,4504863503,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hello latif product domain special data scientist util advanc analyt deriv insight improv product effici hello latif product domain special data scientist util advanc analyt deriv insight improv product effici
159,159,Langton,technician,production,5,9717554321,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey le within domain work cloud engin respons design implement maintain cloud infrastructur hey le within domain work cloud engin respons design implement maintain cloud infrastructur
160,160,LaRotonda,accountant i,admin offices,4,8911634424,account financ financi report bookkeep audit taxat budget payrol financi analysi account reconcili gaap excel quickbook cpa financi stat account pay account receiv cash flow incom stat balanc sheet hi leach product domain work technician ensur smooth oper product machineri equip hi leach product domain work technician ensur smooth oper product machineri equip
161,161,Latif,datascientist,production,3,5440400503,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hello leblanc admin offic domain hold posit share servic manag overse share servic function support busi oper hello leblanc admin offic domain hold posit share servic manag overse share servic function support busi oper
162,162,Le,cloudengineer,it/is,5,6431990199,cloud comput aw azur googl cloud devop infrastructur cod autom contain kubernet network secur serverless architectur script monitor scalabl high avail deploy linux python hey lecter product domain work technician respons maintain repair product equip hey lecter product domain work technician respons maintain repair product equip
163,163,Leach,technician,production,3,4160056394,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hi leruth sale domain contribut devop engin focus optim sale process autom technolog hi leruth sale domain contribut devop engin focus optim sale process autom technolog
164,164,LeBlanc,shared services manager,admin offices,4,7417993560,share servic process improv oper manag servic deliveri team manag budget manag stakehold manag perform metr continu improv vendor manag outsourc servic level agr chang manag project manag collabor problem solv busi process outsourc custom servic leadership commun skil hello liebig product domain serv product manag overse coordin product activ meet product goal hello liebig product domain serv product manag overse coordin product activ meet product goal
165,165,Lecter,technician,production,3,4298605042,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey linar product domain work technician ensur smooth oper product machineri equip hey linar product domain work technician ensur smooth oper product machineri equip
166,166,Leruth,devops,sales,3,4580961073,devop autom continu integr continu deploy cloud comput contain kubernet infrastructur cod script monitor deploy scalabl agil methodolog git jenkin docker ansibl aw azur hi linden product domain special data scientist appli advanc analyt optim product process hi linden product domain special data scientist appli advanc analyt optim product process
167,167,Liebig,production manager,production,3,1212319335,product manag manufactur oper manag lean manufactur process improv team manag budget manag schedul qualiti control inventori manag suppli chain manag perform metr continu improv problem solv collabor workforc manag product plan safeti manag root caus analysi kaizen role product technician focu maintain troubleshoot equip ensur uninterrupt product optim effici role product technician focu maintain troubleshoot equip ensur uninterrupt product optim effici
168,168,Linares,technician,production,4,9686413663,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hi mauric product domain work technician ensur smooth oper product machineri equip hi mauric product domain work technician ensur smooth oper product machineri equip
169,169,Linden,datascientist,production,3,2533284718,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hello carthi product domain special data scientist appli analyt techniqu optim product process hello carthi product domain special data scientist appli analyt techniqu optim product process
170,170,Lindsay,it support,it/is,4,2538425854,support technic support troubleshoot helpdesk support instal network troubleshoot support custom servic ticket system remot support problem solv softwar upd system mainten comput repair user train itil incid manag knowledg ba polici asset manag hey mckenna product domain work technician respons maintain repair product equip hey mckenna product domain work technician respons maintain repair product equip
171,171,Lundy,datascientist,production,4,8172035273,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hi mckinzi sale domain contribut devop engin focus improv sale process autom technolog hi mckinzi sale domain contribut devop engin focus improv sale process autom technolog
172,172,Lunquist,datascientist,production,4,7378933870,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hello mead product domain work technician ensur proper function product machineri equip hello mead product domain work technician ensur proper function product machineri equip
173,173,Lydon,technician,production,3,9438327806,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey medeiro product domain work technician respons maintain repair product equip hey medeiro product domain work technician respons maintain repair product equip
174,174,Lynch,technician,production,4,9018714738,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hi miller product domain serv product manag overse manag product oper ensur effici qualiti hi miller product domain serv product manag overse manag product oper ensur effici qualiti
175,175,MacLennan,technician,production,4,2409226459,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hello monkfish product domain special data scientist leverag data analysi techniqu optim product process hello monkfish product domain special data scientist leverag data analysi techniqu optim product process
176,176,Mahoney,technician,production,4,9681608939,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey monro within domain hold posit manag infra overse infrastructur oper ensur reliabl scalabl hey monro within domain hold posit manag infra overse infrastructur oper ensur reliabl scalabl
177,177,Manchester,datascientist,production,3,8886248843,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hi monterro product domain special data scientist util advanc analyt improv product effici hi monterro product domain special data scientist util advanc analyt improv product effici
178,178,Mancuso,datascientist,production,4,9028899722,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hello moran product domain special data scientist appli data analysi techniqu optim product process hello moran product domain special data scientist appli data analysi techniqu optim product process
179,179,Mangal,technician,production,3,6915774100,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hey morway within domain work network engin respons design maintain compani network infrastructur hey morway within domain work network engin respons design maintain compani network infrastructur
180,180,Martin,software engineer,software engineering,5,1241434763,softwar develop program algorithm program python java web develop databas manag softwar design agil methodolog test debug version control softwar architectur problem solv data structur cloud comput rest api git hi motlagh product domain work technician ensur smooth oper product machineri equip hi motlagh product domain work technician ensur smooth oper product machineri equip
181,181,Maurice,technician,production,4,6339037021,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hello moumanil product domain special data scientist use data analysi optim product process hello moumanil product domain special data scientist use data analysi optim product process
182,182,Carthy,datascientist,production,5,4360081043,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network hey myer product domain work technician respons maintain repair product equip hey myer product domain work technician respons maintain repair product equip
183,183,Mckenna,technician,production,3,2594095352,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system hi navath within domain work cloud engin respons design implement cloud infrastructur solut hi navath within domain work cloud engin respons design implement cloud infrastructur solut
184,184,McKinzie,devops,sales,4,1320907985,devop autom continu integr continu deploy cloud comput contain kubernet infrastructur cod script monitor deploy scalabl agil methodolog git jenkin docker ansibl aw azur hello ndzi product domain work technician ensur smooth oper product machineri equip hello ndzi product domain work technician ensur smooth oper product machineri equip
185,185,Meads,technician,production,4,1562646822,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system product technician meticul ensur smooth oper manufactur process troubleshoot issu aris optim effici product technician meticul ensur smooth oper manufactur process troubleshoot issu aris optim effici
186,186,Medeiros,technician,production,4,3779944310,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system role product technician thrive challeng maintain repair machineri contribut seamless function product line role product technician thrive challeng maintain repair machineri contribut seamless function product line
187,187,Miller,production manager,production,3,9899770650,product manag manufactur oper manag lean manufactur process improv team manag budget manag schedul qualiti control inventori manag suppli chain manag perform metr continu improv problem solv collabor workforc manag product plan safeti manag root caus analysi kaizen transit sale devop role exhilar leverag understand custom need streamlin develop process enhanc deploy pipelin transit sale devop role exhilar leverag understand custom need streamlin develop process enhanc deploy pipelin
188,188,Miller,datascientist,production,2,1488059224,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network product data scientist merg passion data analysi dynam environ manufactur analyz product data identifi trend opportun improv product data scientist merg passion data analysi dynam environ manufactur analyz product data identifi trend opportun improv
189,189,Monkfish,datascientist,production,3,5614057058,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network product technician deepli involv aspect maintain repair equip ensur everyth run smoothli meet product goal product technician deepli involv aspect maintain repair equip ensur everyth run smoothli meet product goal
190,190,Monroe,it manager - infra,it/is,3,7311180850,infrastructur network system administr cloud comput virtual secur server manag disast recoveri capac plan architectur data center manag network secur firew rout switch oper incid manag chang manag itil autom scalabl product data scientist merg statist analysi manufactur expertis deriv action insight product data drive effici qualiti improv product data scientist merg statist analysi manufactur expertis deriv action insight product data drive effici qualiti improv
191,191,Monterro,datascientist,production,3,8504378152,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network intersect sale devop thrive role involv understand custom requir deepli translat robust scalabl solut devop engin intersect sale devop thrive role involv understand custom requir deepli translat robust scalabl solut devop engin
192,192,Moran,datascientist,production,4,5454192607,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network everi day product technician engag machineri diagnos issu implement solut swiftli keep product line oper best everi day product technician engag machineri diagnos issu implement solut swiftli keep product line oper best
193,193,Morway,network engineer,it/is,3,7824567189,network rout switch firew network secur cisco junip dn dhcp vpn wireless network network monitor network troubleshoot network protocol subnet load balanc ipv4 ipv6 ccna realm product role technician demand precis agil troubleshoot maintain equip ensur seamless oper meet product target realm product role technician demand precis agil troubleshoot maintain equip ensur seamless oper meet product target
194,194,Motlagh,technician,production,4,5389831088,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system transit sale devop found nich bring approach develop ensur product meet exceed client expect devop engin transit sale devop found nich bring approach develop ensur product meet exceed client expect devop engin
195,195,Moumanil,datascientist,production,5,9722481997,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network product technician front line maintain equip resolv technic issu promptli ensur minim disrupt manufactur process product technician front line maintain equip resolv technic issu promptli ensur minim disrupt manufactur process
196,196,Myers,technician,production,4,2092525684,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system softwar engin thrive craft eleg solut complex problem softwar engin contribut build robust scalabl softwar system meet user need softwar engin thrive craft eleg solut complex problem softwar engin contribut build robust scalabl softwar system meet user need
197,197,Navathe,cloudengineer,it/is,3,4861224299,cloud comput aw azur googl cloud devop infrastructur cod autom contain kubernet network secur serverless architectur script monitor scalabl high avail deploy linux python realm dive data analysi extract meaning insight drive strateg decis data analyst uncov pattern trend inform busi strategi realm dive data analysi extract meaning insight drive strateg decis data analyst uncov pattern trend inform busi strategi
198,198,Ndzi,technician,production,3,9108395172,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system role product technician focu maintain troubleshoot manufactur equip ensur smooth oper contribut overal effici product process role product technician focu maintain troubleshoot manufactur equip ensur smooth oper contribut overal effici product process
199,199,Ndzi,technician,production,3,2998568015,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system role product data scientist allow merg analyt skill passion manufactur analyz product data optim process drive continu improv role product data scientist allow merg analyt skill passion manufactur analyz product data optim process drive continu improv
200,200,Newman,technician,production,5,2725120587,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system product technician dedic keep equip optim condit troubleshoot issu promptli minim downtim maxim effici product floor product technician dedic keep equip optim condit troubleshoot issu promptli minim downtim maxim effici product floor
201,201,Ngodup,technician,production,3,3985769854,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system product data scientist leverag advanc analyt uncov insight product data enabl us make decis improv manufactur process product data scientist leverag advanc analyt uncov insight product data enabl us make decis improv manufactur process
202,202,Nguyen,devops,sales,5,3774316989,devop autom continu integr continu deploy cloud comput contain kubernet infrastructur cod script monitor deploy scalabl agil methodolog git jenkin docker ansibl aw azur product manag overse entir manufactur process coordin differ team ensur smooth oper time deliveri product maintain qualiti standard product manag overse entir manufactur process coordin differ team ensur smooth oper time deliveri product maintain qualiti standard
203,203,Nguyen,technician,production,5,7208456901,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system role product data scientist appli machin learn statist techniqu optim manufactur process drive effici qualiti improv role product data scientist appli machin learn statist techniqu optim manufactur process drive effici qualiti improv
204,204,Nowlan,datascientist,production,5,1826373377,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network data analyst domain dive deep data extract valuabl insight inform strateg decis drive busi growth data analyst domain dive deep data extract valuabl insight inform strateg decis drive busi growth
205,205,O'hare,technician,production,2,6583031774,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system product technician respons upkeep machineri conduct regular mainten repair ensur seamless oper meet product target product technician respons upkeep machineri conduct regular mainten repair ensur seamless oper meet product target
206,206,Oliver,datascientist,production,3,4360025442,data sci machin learn python r data analysi statist predict model data min data visu deep learn natur languag process ai featur engin experi model evalu big data hadoop spark data preprocess neural network everi day product technician present new challeng diagnos equip issu implement solut swiftli ensur product line run smoothli everi day product technician present new challeng diagnos equip issu implement solut swiftli ensur product line run smoothli
207,207,Onque,devops,sales,3,4843219893,devop autom continu integr continu deploy cloud comput contain kubernet infrastructur cod script monitor deploy scalabl agil methodolog git jenkin docker ansibl aw azur realm sale devop bridg gap custom need technic solut devop engin ensur product develop deploy effici meet market demand realm sale devop bridg gap custom need technic solut devop engin ensur product develop deploy effici meet market demand
208,208,Osturnka,technician,production,3,8324631329,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system product technician deepli involv oper manufactur process troubleshoot issu implement solut keep product track product technician deepli involv oper manufactur process troubleshoot issu implement solut keep product track
209,209,Owad,technician,production,3,3284295771,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system role product technician bring attent detail technic expertis ensur smooth function equip minim downtim maxim effici role product technician bring attent detail technic expertis ensur smooth function equip minim downtim maxim effici
210,210,Ozark,devops,sales,5,6225823342,devop autom continu integr continu deploy cloud comput contain kubernet infrastructur cod script monitor deploy scalabl agil methodolog git jenkin docker ansibl aw azur product technician tackl challeng diagnos resolv equip issu swiftli minim disrupt keep product line run smoothli product technician tackl challeng diagnos resolv equip issu swiftli minim disrupt keep product line run smoothli
211,211,Panjwani,technician,production,4,3548169790,technic support troubleshoot instal repair mainten custom servic diagnost problem solv comput hardwar softwar instal network troubleshoot technic document support support electron system equip calibr system upgrad system test itil ticket system role product technician focu maintain troubleshoot equip ensur uninterrupt product optim effici role product technician focu maintain troubleshoot equip ensur uninterrupt product optim effici
212,212,Patronick,software engineer,software engineering,5,5449267627,softwar develop program algorithm program python java web develop databas manag softwar design agil methodolog test debug version control softwar architectur problem solv data structur cloud comput rest api git role product technician focu maintain troubleshoot equip ensur uninterrupt product optim effici role product technician focu maintain troubleshoot equip ensur uninterrupt product optim effici
213,213,Pearson,data analyst,it/is,4,1587738853,data analysi sql data visu excel statist data clean data interpret report problem solv critic think quantit analysi data manipul dashboard cr busi analysi data min data model python r tableau data valid product technician forefront ensur equip oper peak effici troubleshoot issu implement prevent mainten minim downtim product technician forefront ensur equip oper peak effici troubleshoot issu implement prevent mainten minim downtim
